id,gender,masterCategory,subCategory,articleType,baseColour,year,usage,productDisplayName,
24805,Men,Footwear,Shoes,Sports Shoes,Black,2007,Sports,Decathlon Men Black F300 Sports Shoes,
37341,Boys,Apparel,Topwear,Tshirts,Orange,2008,Casual,U.S. Polo Assn. Kids Boys Orange T-shirt,
39900,Men,Footwear,Shoes,Sports Shoes,White,2008,Sports,ADIDAS Men White Sukoi Sports Shoes,
43341,Men,Footwear,Shoes,Sports Shoes,Grey,2008,Sports,Reebok Men Realflex Optimal Grey Sports Shoe,
22542,Men,Footwear,Shoes,Sports Shoes,White,2009,Sports,Lotto  Kids-Boy Jumper  White Sports Shoes,
2323,Men,Apparel,Topwear,Tshirts,White,2009,Casual,Reebok Men Club Stripe White Polo T-shirt,
2327,Men,Apparel,Topwear,Tshirts,White,2009,Casual,Reebok Men Football Fanatic White T-shirt,
17998,Men,Apparel,Topwear,Tshirts,Red,2009,Sports,Puma Men Graphic Tee Red Tshirt,
47185,Men,Footwear,Shoes,Casual Shoes,Black,2010,Casual,Ganuchi Men Black Shoes,
53633,Men,Footwear,Shoes,Casual Shoes,Olive,2010,Casual,ADIDAS Men Olive Shoes,
53637,Men,Footwear,Shoes,Casual Shoes,White,2010,Casual,ADIDAS Men White Shoes,
53638,Men,Footwear,Shoes,Casual Shoes,Black,2010,Casual,ADIDAS Men Black Casual Shoes,
54065,Men,Footwear,Shoes,Casual Shoes,Blue,2010,Casual,ADIDAS Men Blue Shoes,
55626,Men,Footwear,Shoes,Casual Shoes,Black,2010,Casual,Numero Uno Men Black Shoes,
1528,Men,Apparel,Topwear,Jackets,Black,2010,Sports,Puma Men Ferrari Black Fleece Jacket,
1530,Men,Apparel,Topwear,Jackets,Red,2010,Sports,Puma Men Ferrari Track Jacket,
1579,Men,Apparel,Topwear,Jackets,Grey,2010,Sports,Domyos Men Grey Second Skin Jacket,
1758,Men,Apparel,Topwear,Jackets,White,2010,Sports,Lotto Men White Collared Jacket,
2031,Men,Apparel,Topwear,Jackets,Black,2010,Sports,ADIDAS Men Collared Track Jacket,
19241,Men,Apparel,Topwear,Jackets,Black,2010,Casual,Puma Men Lifestyle Track Black Jacket,
56795,Men,Apparel,Bottomwear,Jeans,Blue,2010,Casual,Horsefly Men Blue Jeans,
2050,Men,Apparel,Topwear,Shirts,Black,2010,Casual,Lee Men Essential Black Shirt,
2093,Men,Apparel,Topwear,Shirts,Blue,2010,Casual,Lee Men checks Blue Shirt,
2094,Men,Apparel,Topwear,Shirts,White,2010,Casual,Lee Men Checks Green Shirt,
2095,Men,Apparel,Topwear,Shirts,Blue,2010,Casual,Lee Men Light Blue Shirt,
2096,Men,Apparel,Topwear,Shirts,Green,2010,Casual,Lee Men Olive Green Shirt,
2097,Men,Apparel,Topwear,Shirts,Blue,2010,Casual,Lee Men Reversible Blue Shirt,
2098,Men,Apparel,Topwear,Shirts,White,2010,Casual,Lee Men Derrick Checks Shirt,
2099,Men,Apparel,Topwear,Shirts,White,2010,Casual,Lee Men Checks Dark Blue Shirt,
2100,Men,Apparel,Topwear,Shirts,Brown,2010,Casual,Lee Men Checks Brown Shirt,
2101,Men,Apparel,Topwear,Shirts,Blue,2010,Casual,Lee Men Check Mason Blue Shirt,
2102,Men,Apparel,Topwear,Shirts,White,2010,Casual,Lee Men Checks Parker Blue Shirt,
2103,Men,Apparel,Topwear,Shirts,White,2010,Casual,Lee Men Checks White Shirt,
2104,Men,Apparel,Topwear,Shirts,Blue,2010,Casual,Lee Men Checks Red Shirt,
6010,Men,Apparel,Topwear,Shirts,Purple,2010,Casual,Highlander Men Purple Green Checked Shirt,
59838,Men,Apparel,Topwear,Shirts,Navy Blue,2010,Casual,United Colors of Benetton Men Navy Blue Shirt,
1567,Men,Apparel,Bottomwear,Shorts,Black,2010,Sports,Artengo Men Training Shorts,
1569,Men,Apparel,Bottomwear,Shorts,Black,2010,Sports,Artengo Men Black Tennis Shorts,
1591,Men,Apparel,Bottomwear,Shorts,Red,2010,Sports,Kipsta Men Red Shorts,
1619,Men,Apparel,Bottomwear,Shorts,Grey,2010,Sports,Reebok Men Micro Shorts Grey and White,
