id,gender,masterCategory,subCategory,articleType,baseColour,year,usage,productDisplayName
17993,Women,Apparel,Bottomwear,Track Pants,Grey,2009,Sports,Puma Women Essential Skinny Grey Track Pant
17994,Women,Apparel,Bottomwear,Track Pants,Navy Blue,2009,Sports,Puma Women Essential Skinny Navy Blue Track Pant
54076,Unisex,Footwear,Shoes,Casual Shoes,Brown,2010,Casual,ADIDAS Unisex Brown Casual Shoes
18795,Unisex,Accessories,Bags,Laptop Bag,Beige,2010,Casual,Peter England Unisex Casual Beige Bag
1728,Unisex,Footwear,Shoes,Sports Shoes,Green,2010,Sports,Newfeel Unisex Green Sports Shoes
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,2010,Sports,Nabaiji Swimming Goggles Blue Black
3464,Unisex,Apparel,Apparel Set,Swimwear,Blue,2010,Sports,ADIDAS Kid's Light Aqua Swimming Cap
3465,Unisex,Apparel,Apparel Set,Swimwear,Black,2010,Sports,ADIDAS Unisex Black White Swimming Cap
2584,Unisex,Apparel,Bottomwear,Track Pants,Black,2010,Sports,Kalenji Unisex Tight Black Track Pant
51320,Unisex,Accessories,Accessories,Travel Accessory,Black,2010,Casual,Wildcraft Unisex Black Travel Pouch
51330,Unisex,Accessories,Accessories,Travel Accessory,Black,2010,Casual,Wildcraft Unisex Black Rain Cover for Backpacks
58525,Unisex,Accessories,Accessories,Travel Accessory,Green,2010,Casual,Wildcraft Unisex Green Chalk Bag
1803,Unisex,Apparel,Topwear,Tshirts,Black,2010,Sports,Tribord Unisex Black T-shirt
1611,Women,Apparel,Topwear,Jackets,Black,2010,Sports,Reebok Knit Rib Women Black Jacket
51618,Women,Apparel,Bottomwear,Jeggings,Blue,2010,Casual,Kraus Jeans Women Blue Jeggings
53859,Women,Apparel,Topwear,Kurtas,Green,2010,Ethnic,Vishudh Women Green Kurta
59058,Women,Apparel,Topwear,Kurtis,Black,2010,Ethnic,Global Desi Women Black Kurti
54059,Women,Apparel,Bottomwear,Leggings,White,2010,Casual,Myntra Women White Leggings
57922,Women,Apparel,Bottomwear,Leggings,Purple,2010,Casual,Femella Women Purple Leggings
17992,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,2010,Sports,Puma Women Essential Skinny Black Track Pant
47071,Women,Apparel,Bottomwear,Patiala,Rust,2010,Ethnic,Shree Women Rust & Red Patiala
42313,Women,Apparel,Saree,Sarees,Beige,2010,Ethnic,Prafful Belge & Red Crepe Printed Saree
